O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
25-2051.00,4.0,3.33,1.67,2.67,1.0,7.0
25-2057.00,5.0,2.67,3.33,3.33,2.33,7.0
25-2058.00,4.0,3.33,3.67,4.33,1.67,7.0
25-2059.01,2.0,2.67,3.0,2.33,4.0,7.0
25-3011.00,4.67,2.67,4.0,2.33,2.0,7.0
25-3021.00,5.33,2.0,4.0,2.67,1.67,7.0
25-3041.00,3.0,3.0,1.67,5.0,1.33,6.67
25-4011.00,1.67,6.67,2.33,5.33,3.0,3.33
25-4012.00,4.0,5.67,6.33,4.0,2.33,3.33
25-4013.00,4.0,3.67,3.0,3.67,7.0,1.67
25-4022.00,2.33,6.17,3.33,3.17,3.83,5.0
25-4031.00,1.67,7.0,3.67,1.33,2.33,5.0
25-9021.00,2.33,2.33,4.67,4.33,5.33,7.0
25-9031.00,4.33,3.0,4.33,5.0,2.0,6.67
25-9044.00,3.33,4.0,3.0,2.0,1.33,6.33
27-1011.00,7.0,3.0,6.33,1.33,3.0,2.33
27-1012.00,7.0,1.33,5.33,2.0,5.67,1.67
27-1013.00,7.0,1.0,3.33,2.67,5.0,2.0
27-1014.00,7.0,3.0,1.67,4.0,3.0,1.33
27-1021.00,6.67,1.67,4.67,2.0,4.0,2.0
27-1022.00,7.0,1.33,6.0,1.67,4.0,2.33
27-1023.00,6.33,2.67,5.0,1.0,4.33,2.33
27-1024.00,7.0,2.33,4.33,1.67,4.33,2.0
27-1025.00,6.67,1.33,5.33,1.67,3.0,3.0
27-1026.00,6.0,2.0,5.33,1.67,5.0,1.67
27-1027.00,7.0,2.33,3.33,3.0,5.0,2.0
27-2011.00,6.67,1.67,4.67,1.33,2.67,3.0
27-2012.00,6.0,3.33,6.67,1.33,1.67,3.33
27-2012.03,4.33,5.0,7.0,1.67,1.33,2.67
27-2012.04,5.67,3.67,7.0,1.33,1.67,3.33
27-2012.05,4.0,4.0,7.0,2.0,4.0,1.67
27-2021.00,1.67,2.33,4.67,1.0,6.33,3.0
27-2022.00,2.0,3.33,5.67,1.33,5.67,6.0
27-2023.00,1.33,4.33,6.0,1.67,6.0,3.0
27-2031.00,7.0,1.0,3.0,1.67,5.33,3.33
27-2032.00,7.0,1.67,4.67,1.67,2.67,5.0
27-2041.00,6.83,2.33,4.67,2.17,2.5,3.33
27-2042.00,6.83,1.0,4.17,1.17,2.17,2.33
27-3011.00,5.67,2.0,5.33,2.0,1.0,4.67
27-3023.00,6.33,2.67,4.5,4.0,1.5,3.83
27-3031.00,5.0,3.0,7.0,2.0,1.0,4.67
27-3041.00,6.33,4.0,6.0,2.0,1.33,2.0
27-3042.00,6.33,3.67,2.67,4.33,1.33,1.33
27-3043.00,6.33,3.0,6.67,3.0,1.67,2.33
27-3043.05,7.0,2.0,3.67,5.0,1.67,2.33
27-3091.00,6.0,3.67,2.0,3.33,1.33,5.33
27-3092.00,2.33,6.33,3.33,1.67,1.33,2.67
27-4011.00,3.33,4.67,1.67,5.0,7.0,1.0
27-4012.00,1.67,5.33,2.0,4.33,7.0,1.67
27-4014.00,5.0,3.67,3.33,2.67,6.67,1.0
27-4021.00,6.0,1.33,3.33,2.0,4.67,2.33
27-4031.00,6.0,3.67,2.33,2.67,6.33,2.33
27-4032.00,6.67,2.33,3.67,3.67,2.67,1.67
29-1011.00,2.0,2.0,2.67,5.67,5.33,6.0
29-1021.00,1.67,3.0,2.33,7.0,5.33,4.0
29-1022.00,1.67,2.67,3.0,5.0,6.0,5.67
29-1023.00,1.67,2.33,3.33,7.0,5.33,4.67
29-1024.00,2.33,3.0,1.33,7.0,6.0,4.0
29-1031.00,2.33,2.0,4.0,6.67,2.33,6.33
29-1041.00,1.0,2.67,3.33,6.0,5.0,5.33
29-1051.00,1.33,5.33,2.67,7.0,3.33,4.33
